title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	ratings	meta_score	imdb_rating	imdb_votes	id	type	dvd	box_office	production	website	response
Street Fighter II: The Animated Movie	1994	PG-13	16 Jan 1996	102 min	Animation, Action, Adventure	Gisaburô Sugii	Takashi Nishiyama, Hiroshi Matsumoto, Akira Nishitani	Kôjiro Shimizu, Kenji Haga, Miki Fujitani	Based on the legendary video game series. This anime classic follows Ryu, a talented fighter who may be the greatest in all of the world, and Bison, the evil mastermind searching for Ryu's talents.	Japanese	Japan	N/A	https://m.media-amazon.com/images/M/MV5BYzY4OWMzZDUtNDE4Ny00MzJhLWFhN2YtNTA1Mjc1MWE4MTE4XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg	[object Object]	N/A	7.2	8,950	tt0114563	movie	03 Jan 2019	N/A	N/A	N/A	True
Stitch! The Movie	2003	G	25 Aug 2003	60 min	Animation, Adventure, Comedy, Family, Sci-Fi	Tony Craig, Roberts Gannaway	Jess Winfield, Roberts Gannaway	Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers	Stitch, an alien living on Earth disguised as a dog with his human family, continues his adventures when he discovers that the alien family he never knew he had is now in Hawaii, being hunted down by galactic forces.	Hawaiian, English	USA	2 nominations.	https://m.media-amazon.com/images/M/MV5BMjE4NzAwMjIyMl5BMl5BanBnXkFtZTcwNjYwMjAwMQ@@._V1_SX300.jpg	[object Object],[object Object]	N/A	6.2	8,719	tt0348124	movie	11 Jun 2013	N/A	N/A	N/A	True
Yu-Gi-Oh!: The Movie - Pyramid of Light	2004	PG	13 Aug 2004	90 min	Animation, Action, Adventure	Christopher Collet, Eric Stuart, Hatsuki Tsuji	Matthew Drdek, Lloyd Goldfine, Norman J. Grossfeld	Dan Green, Eric Stuart, Amy Birnbaum	Underneath the sands of Egypt, Anubis, an ancient evil spirit, has awakened. It's up to Yugi, who defeated Anubis centuries ago, to use his skill and determination to rid the world of evil once again.	English	Japan, United States	N/A	https://m.media-amazon.com/images/M/MV5BNTQ4NzM0NTAyMF5BMl5BanBnXkFtZTYwOTc2MTg3._V1_SX300.jpg	[object Object],[object Object],[object Object]	15	4.9	8,553	tt0403703	movie	16 Nov 2004	$19,887,556	N/A	N/A	True
Little Horror Movie	2018	N/A	28 Jun 2019	84 min	Horror	Jérôme Cohen-Olivar	Jérôme Cohen-Olivar	Einar Kuusk, Aouatefe Lahmani, Rebecca Ramon	Three You tubers struggling to get more views on their adventure channel, travel to the mythical city of Casablanca, unaware that it hides a terrifying secret.	English	United States	5 wins & 2 nominations	https://m.media-amazon.com/images/M/MV5BNjFjMjViMDgtMTBmMC00MWU0LWIwZTYtODEwZjZmZjVmNTFkXkEyXkFqcGdeQXVyMzE3MDkzMjM@._V1_SX300.jpg	[object Object]	N/A	5.2	8,466	tt3692082	movie	28 Jun 2019	$478,000	N/A	N/A	True
Fred: The Movie	2010	TV-PG	18 Sep 2010	81 min	Adventure, Comedy, Family	Clay Weiner	David A. Goodman, Lucas Cruikshank	Lucas Cruikshank, Pixie Lott, Jake Weary	Lovestruck, awkward teen Fred Figglehorn makes desperate attempts to make Judy fall in love with him - while also dodging the mischievous Kevin.	English	United States	1 nomination	https://m.media-amazon.com/images/M/MV5BOGFhMDc5NjYtODI4Ny00M2FmLTk3YmUtMTQwZDFlYmRiNDI1XkEyXkFqcGdeQXVyODIxNjk4NzQ@._V1_SX300.jpg	[object Object],[object Object]	N/A	2.0	8,317	tt1595842	movie	17 Aug 2010	N/A	N/A	N/A	True
Steins;Gate: The Movie - Load Region of Déjà Vu	2013	TV-14	20 Apr 2013	90 min	Animation, Mystery, Sci-Fi	Kanji Wakabayashi, Hiroshi Hamasaki, Takuya Satô	Chiyomaru Shikura, Jukki Hanada, J. Michael Tatum	Mamoru Miyano, Asami Imai, Kana Hanazawa	After the events of the anime, Rintarou begins to feel the repercussions of extensive time travel, and eventually completely fades from reality. Kurisu, being the only companion to remember him, now must find a way to bring him back.	Japanese	Japan	1 nomination	https://m.media-amazon.com/images/M/MV5BOGJlNDM3ZjktOTNiNy00YmNmLWJlOGYtNDM4MTI2ZjRjOTNmXkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_SX300.jpg	[object Object]	N/A	7.8	8,272	tt2967286	movie	N/A	N/A	N/A	N/A	True
Best Worst Movie	2009	Not Rated	14 Mar 2009	93 min	Documentary, Comedy, Drama	Michael Paul Stephenson	Michael Paul Stephenson	George Hardy, Lily Hardy, Pita Ray	"A look at the making of the film Troll 2 (1990) and its journey from being crowned the ""worst film of all time"" to a cherished cult classic."	English, Italian	United States	3 wins & 1 nomination	https://m.media-amazon.com/images/M/MV5BMTQ1NjE1MjYzNF5BMl5BanBnXkFtZTcwMDU0MDczMw@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	61	7.2	8,171	tt1144539	movie	16 Nov 2010	$109,895	N/A	N/A	True
The Garbage Pail Kids Movie	1987	PG	07 Apr 1988	100 min	Adventure, Comedy, Family	Rod Amateau	Linda Palmer, Rod Amateau, John Pound	Anthony Newley, Mackenzie Astin, Phil Fondacaro	Dodger must confront the struggles of life as he is visited by the Garbage Pail Kids and intimidated by some older bullies.	English	United States	4 nominations	https://m.media-amazon.com/images/M/MV5BMTgzMzEwMzY5Nl5BMl5BanBnXkFtZTgwMzczNjkwMzE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	1	2.6	8,011	tt0093072	movie	01 Aug 2006	$1,576,615	N/A	N/A	True
Sword Art Online the Movie: Ordinal Scale	2017	TV-14	18 Feb 2017	119 min	Animation, Action, Adventure	Tomohiko Itô	Tomohiko Itô, Reki Kawahara	Yoshitsugu Matsuoka, Haruka Tomatsu, Kanae Itô	Kirito uncovers a conspiracy within Ordinal Scale, a popular AR game developed for a new system called The Augma.	Japanese	Japan	2 nominations	https://m.media-amazon.com/images/M/MV5BZGE4M2M2OTYtZDgwMy00NGYwLWE0YTYtYzkyMDFjYWFhN2QzXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg	[object Object]	N/A	7.3	7,943	tt5544384	movie	22 Mar 2018	$1,522,976	N/A	N/A	True
Piglet's Big Movie	2003	G	21 Mar 2003	75 min	Animation, Adventure, Comedy	Francis Glebas	Brian Hohlfeld, A.A. Milne, Ted Henning	John Fiedler, Jim Cummings, Ken Sansom	When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.	English	United States	1 nomination	https://m.media-amazon.com/images/M/MV5BMTc5MzE2ODAyOF5BMl5BanBnXkFtZTYwNTcwNDg3._V1_SX300.jpg	[object Object],[object Object],[object Object]	62	6.1	7,879	tt0323642	movie	29 Jul 2003	$23,103,423	N/A	N/A	True
Pooh's Heffalump Movie	2005	G	11 Feb 2005	68 min	Animation, Adventure, Comedy	Frank Nissen	Brian Hohlfeld, Evan Spiliotopoulos, A.A. Milne	Jim Cummings, Brenda Blethyn, Kyle Stanger	When Roo sets off on his own into the Hundred Acre Wood, he discovers a friendly and playful Heffalump named Lumpy.	English	United States	1 nomination	https://m.media-amazon.com/images/M/MV5BMTUyOTk5MDM4N15BMl5BanBnXkFtZTcwMTM0NDcyMQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	64	6.4	7,543	tt0407121	movie	24 May 2005	$18,098,433	N/A	N/A	True
Digimon: The Movie	2000	PG	06 Oct 2000	82 min	Animation, Action, Adventure	Bob Buchholz, Mamoru Hosoda, Jeff Nimoy	Akiyoshi Hongo, Jeff Nimoy, Bob Buchholz	Lara Jill Miller, Joshua Seth, Bob Papenbrook	Throughout three different stories, Kari Kamiya and her friends take on explosive adventures involving digital creatures.	English	United States, Japan	1 win	https://m.media-amazon.com/images/M/MV5BMjE2NTAyMjUxMl5BMl5BanBnXkFtZTYwOTAwODQ3._V1_SX300.jpg	[object Object],[object Object],[object Object]	20	6.0	7,412	tt0259974	movie	06 Feb 2001	$9,631,153	N/A	N/A	True
Angry Video Game Nerd: The Movie	2014	Unrated	21 Jul 2014	115 min	Adventure, Comedy, Sci-Fi	Kevin Finn, James Rolfe	Kevin Finn, James Rolfe	James Rolfe, Jeremy Suarez, Sarah Glendening	The AVGN must overcome his phobia of the worst video game in the world to save his fans.	English	United States	N/A	https://m.media-amazon.com/images/M/MV5BMjA2NzYzMTg4NF5BMl5BanBnXkFtZTgwNDcyMzIwMjE@._V1_SX300.jpg	[object Object]	N/A	5.5	7,316	tt2123146	movie	15 Mar 2016	N/A	N/A	N/A	True
Hey Arnold! The Movie	2002	PG	28 Jun 2002	76 min	Animation, Adventure, Comedy	Tuck Tucker	Craig Bartlett, Steve Viksten	Spencer Klein, Francesca Marie Smith, Jamil Walker Smith	Arnold and company must recover a stolen document needed in order to prevent the neighborhood from being bulldozed.	English	United States	1 nomination	https://m.media-amazon.com/images/M/MV5BYjhlMTU0YWQtMjlkMi00MzI0LWJkYmMtNzVlMjMyYjY4ODJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	47	5.9	7,302	tt0314166	movie	31 Dec 2002	$13,728,902	N/A	N/A	True
Constantine: City of Demons - The Movie	2018	R	04 Oct 2018	90 min	Animation, Action, Fantasy	Doug Murphy	J.M. DeMatteis, Steve Bissette, John Totleben	Matt Ryan, Laura Bailey, Robin Atkin Downes	A decade after a tragic mistake, Chas Chandler and occult investigator John Constantine set out to cure Chas's daughter, Trish, from a demonically induced coma.	English	United States	N/A	https://m.media-amazon.com/images/M/MV5BYTU1ODk0OTAtZTJiYy00MTJlLWI2MGYtOWJhYTg5YzJkOGE4XkEyXkFqcGdeQXVyODc5Mjc4Nzg@._V1_SX300.jpg	[object Object]	N/A	7.3	7,185	tt9177882	movie	09 Oct 2018	N/A	N/A	N/A	True
